md5key,shnid,label,filename
394,227,shn-md5,gd1974-10-19-shn.md5
397,228,shn-md5,gd1974-10-19-shn.md5
401,229,shn-md5,gd1974-10-20-shn.md5
409,233,shn-md5,gd1975-06-17-shn.md5
414,236,orig-shn-md5,gd1975-09-28-orig-shn.md5
416,237,shn-md5,gd1976-06-10-shn.md5
418,238,shn-md5,gd1976-06-11-shn.md5
423,241,shn-md5,gd1976-06-15-shn.md5
426,243,shn-md5,gd1976-07-17-shn.md5
429,244,shn-md5,gd1976-07-18-shn.md5
432,245,shn-md5,gd1976-08-02-shn.md5
435,246,orig-shn-md5,gd1976-09-25-orig-shn.md5
436,246,shn-md5,gd1976-09-25-shn.md5
442,248,shn-md5,gd1976-10-03-shn.md5
443,249,orig-shn-md5,gd1976-10-09-orig-shn.md5
446,251,shn-md5,gd1976-10-15-shn.md5
450,254,shn-md5,gd1977-03-18-shn.md5
453,255,shn-md5,gd1977-03-19-shn.md5
456,257,orig-shn-md5,gd1977-03-20-orig-shn.md5
461,261,shn-md5,gd1977-05-05-shn.md5
464,262,orig-shn-md5,gd1977-05-07-orig-shn.md5
467,266,shn-md5,gd1977-05-08-shn.md5
475,268,orig-shn-md5,gd1977-05-09-orig-shn.md5
479,271,shn-md5,gd1977-05-21-shn.md5
489,279,shn-md5,gd1977-10-11-shn.md5
490,280,shn-md5,gd1977-10-29-shn.md5
496,283,orig-shn-md5,gd1977-11-06-orig-shn.md5
502,286,shn-md5,gd1977-12-31-shn.md5
505,287,shn-md5,gd1978-01-22-shn.md5
511,290,shn-md5,gd1978-04-06-shn.md5
514,291,shn-md5,gd1978-04-11-shn.md5
516,292,orig-shn-md5,gd1978-04-16-orig-shn.md5
517,292,shn-md5,gd1978-04-16-shn.md5
518,293,orig-shn-md5,gd1978-07-07-orig-shn.md5
524,295,shn-md5,gd1978-09-15-shn.md5
528,298,shn-md5,gd1978-10-18-shn.md5
531,299,orig-shn-md5,gd1978-10-22-orig-shn.md5
534,299,shn-md5,gd1978-10-22-shn.md5
536,302,shn-md5,gd1978-11-20-shn.md5
537,304,orig-shn-md5,gd1978-11-24-orig-shn.md5
540,305,shn-md5,gd1978-12-19-shn.md5
546,307,shn-md5,gd1979-01-10-shn.md5
549,308,shn-md5,gd1979-01-11-shn.md5
552,309,shn-md5,gd1979-01-12-shn.md5
555,310,shn-md5,gd1979-01-15-shn.md5
558,312,shn-md5,gd1979-01-20-shn.md5
561,313,orig-shn-md5,gd1979-02-17-orig-shn.md5
564,314,shn-md5,gd1979-05-11-shn.md5
565,315,shn-md5,gd1979-07-01-shn.md5
569,317,shn-md5,gd1979-10-27-shn.md5
572,318,shn-md5,gd1979-11-09-shn.md5
575,319,orig-shn-md5,gd1979-12-01-orig-shn.md5
577,320,shn-md5,gd1979-12-03-shn.md5
580,321,shn-md5,gd1980-06-21-shn.md5
581,323,shn-md5,gd1980-10-11-shn.md5
582,324,shn-md5,gd1980-10-27-shn.md5
583,325,shn-md5,gd1980-11-29-shn.md5
588,328,shn-md5,gd1981-03-09-shn.md5
596,331,shn-md5,gd1981-12-31-shn.md5
600,332,shn-md5,gd1982-04-17-shn.md5
601,333,shn-md5,gd1982-08-08-shn.md5
604,334,orig-shn-md5,gd1982-08-10-orig-shn.md5
607,335,orig-shn-md5,gd1982-09-17-orig-shn.md5
613,337,shn-md5,gd1982-10-09-shn.md5
616,338,shn-md5,gd1982-10-10-shn.md5
621,341,shn-md5,gd1983-05-13-shn.md5
622,342,shn-md5,gd1983-05-14-shn.md5
627,344,shn-md5,gd1983-10-11-shn.md5
630,345,orig-shn-md5-with-filler,gd1983-10-12-orig-shn-md5-with-filler.md5
633,346,orig-shn-md5,gd1983-10-15-orig-shn.md5
635,347,shn-md5,gd1983-10-17-shn.md5
638,348,shn-md5,gd1983-10-21-shn.md5
644,350,shn-md5,gd1984-05-07-shn.md5
647,352,shn-md5,gd1984-06-21-shn.md5
649,353,shn-md5,gd1984-07-13-shn.md5
652,354,shn-md5,gd1984-07-14-shn.md5
655,355,shn-md5,gd1984-07-15-shn.md5
658,356,shn-md5,gd1984-10-12-shn.md5
659,357,shn-md5,gd1985-03-28-shn.md5
663,359,shn-md5,gd1985-04-27-shn.md5
664,360,shn-md5,gd1985-06-24-shn.md5
675,366,shn-md5,gd1985-06-30-shn.md5
684,372,shn-md5,gd1985-07-13-shn.md5
688,373,shn-md5,gd1985-09-07-shn.md5
694,376,shn-md5,gd1985-09-15-shn.md5
697,378,shn-md5,gd1985-09-15-shn.md5
703,382,shn-md5,gd1986-02-14-shn.md5
704,382,orig-shn-md5,gd1986-02-14-orig-shn.md5
714,388,shn-md5,gd1986-06-22-shn.md5
721,392,orig-shn-md5,gd1987-04-11-orig-shn.md5
723,392,shn-md5,gd1987-04-11-shn.md5
727,394,shn-md5,gd1987-09-18-shn.md5
731,396,shn-md5,gd1987-09-19-shn.md5
737,398,shn-md5,gd1987-09-24-shn.md5
740,399,shn-md5,gd1987-10-03-shn.md5
745,401,shn-md5,gd1987-10-04-shn.md5
747,402,shn-md5,gd1987-12-31-shn.md5
752,406,shn-md5,gd1988-03-27-shn.md5
760,408,shn-md5,gd1988-03-30-shn.md5
766,414,shn-md5,gd1988-06-30-shn.md5
782,425,shn-md5,gd1988-09-24-shn.md5
792,429,shn-md5,gd1989-02-12-shn.md5
795,430,shn-md5,gd1989-04-15-shn.md5
798,433,shn-md5,gd1989-07-17-shn.md5
803,435,orig-d1-shn,gd1989-07-18-orig-d1-shn.md5
805,435,orig-d2-shn,gd1989-07-18-orig-d2-shn.md5
807,435,orig-d3-shn,gd1989-07-18-orig-d3-shn.md5
809,437,orig-d1,gd1989-07-19-orig-d1.md5
811,437,orig-d2,gd1989-07-19-orig-d2.md5
813,437,orig-d3,gd1989-07-19-orig-d3.md5
815,439,orig-shn-md5,gd1989-10-08-orig-shn.md5
820,443,orig-shn-md5,gd1989-10-09-orig-shn.md5
825,446,shn-md5,gd1989-10-16-shn.md5
833,451,orig-filler,gd1990-02-26-orig-filler.md5
838,453,shn-md5,gd1990-03-22-shn.md5
842,457,shn-md5,gd1990-06-10-shn.md5
855,463,shn-md5,gd1990-07-14-shn.md5
868,472,corrupt-orig-shn-md5,gd1990-12-08-corrupt-orig-shn.md5
869,474,orig-shn-md5,gd1991-03-21-orig-shn.md5
874,476,shn-md5,gd1991-04-07-shn.md5
880,478,shn-md5,gd1991-06-06-shn.md5
886,480,orig-shn-md5,gd1991-06-07-orig-shn.md5
895,489,shn-md5,gd1991-06-25-shn.md5
905,497,orig-shn-md5,gd1991-08-17-orig-shn.md5
907,497,shn-md5,gd1991-08-17-shn.md5
941,508,shn-md5,gd1991-09-09-shn.md5
946,511,orig-shn-md5,gd1991-09-10-orig-shn.md5
952,516,orig-shn-md5,gd1991-09-12-orig-shn.md5
964,520,shn-md5,gd1991-09-13-shn.md5
971,522,shn-md5,gd1991-09-14-shn.md5
975,525,shn-md5,gd1991-09-16-shn.md5
981,527,shn-md5,gd1991-09-18-shn.md5
988,530,orig-shn-md5,gd1991-09-22-orig-shn.md5
992,530,shn-md5,gd1991-09-22-shn.md5
1002,537,shn-md5,gd1991-10-27-shn.md5
1009,544,shn-md5,gd1992-05-31-shn.md5
1012,546,shn-md5,gd1992-06-20-shn.md5
1018,548,shn-md5,gd1992-06-25-shn.md5
1024,550,shn-md5,gd1992-06-28-shn.md5
1031,555,orig-shn-md5,gd1993-03-27-orig-shn.md5
1043,559,shn-md5,gd1993-06-23-shn.md5
1049,561,shn-md5,gd1993-08-21-shn.md5
1054,562,orig-shn-md5,gd1993-08-22-orig-shn.md5
1060,565,shn-md5,gd1993-09-22-shn.md5
1062,567,orig-shn-md5,gd1994-03-16-orig-shn.md5
1078,574,shn-md5,gd1994-07-23-shn.md5
1085,581,shn-md5,gd1995-04-01-shn.md5
1089,583,shn-md5,gd1995-06-02-shn.md5
1096,587,shn-md5,gd1995-07-02-shn.md5
1820,968,shn-md5,Seastones1973-11-28-shn.md5
1821,969,shn-md5,gd1973-10-30-shn.md5
1905,1014,shn-md5,gd1973-10-29-shn.md5
1916,1016,shn-md5,gd1973-11-11-shn.md5
1919,1017,shn-md5,gd1978-02-01-shn.md5
1921,1019,shn-md5,gd1974-07-31-shn.md5
1939,1025,orig-shn-md5,gd1994-10-01-orig-shn.md5
1942,1027,shn-md5,gd1968-10-13-shn.md5
1996,1026,orig-shn-md5,gd1994-08-01-orig-shn.md5
1997,1029,shn-md5,gd1971-02-19-shn.md5
2000,1055,shn-md5,gd1993-02-21-shn.md5
2004,1061,orig-shn-md5,gd1993-06-25-orig-shn.md5
2012,1069,shn-md5,gd1991-09-08-shn.md5
2015,1070,shn-md5,gd1973-10-29-shn.md5
2018,1071,shn-md5,gd1977-05-25-shn.md5
2021,1072,shn-md5,gd1974-07-25-shn.md5
